13028;Bagno Milano;;;;Cesenatico;Cesenatico;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13028;
12996;Bagno fafin;;info@fafin.it;http://www.fafin.it;Cesenatico;Cesenatico;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12996;
13015;Bagno Italia;;;;Cesenatico;Cesenatico;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13015;
12815;Bagno Sorriso;228/229;;;Cervia;Cervia;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12815;
13044;Bagno Romagna;;;;Cesenatico;Cesenatico;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13044;
12794;Bagno Anna;199;;;Cervia;Cervia;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12794;
12973;Bagno Bologna;;;;Cesenatico;Cesenatico;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12973;
12811;Bagno Playa Caribe;217/218;info@playacaribe.it;http://www.playacaribe.it/;Cervia;Cervia;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12811;
13168;Mar Y Sol Bagno 57;57;info@marysolbagno57.it;www.marysolbagno57.it;Comacchio;Lido di Spina;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13168;
13709;Bagno Playa del Sol;108, 109;info@playadelsolriccione.com;http://www.bagno108.com/;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13709;
13118;Bagno Lidò;24;info@ristorantelido.net;;Comacchio;Lido delle Nazioni;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13118;
13360;Bagno 2000;14;;;Ravenna;Lido di Classe;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13360;
13625;Bagni Marco;21;;;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13625;
13671;Bagni Mario;70;info@bagno70.it;http://www.bagno70.it/main.html;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13671;
13167;Bagno Virna;56;info@bagnovirna.info;http://www.bagnovirna.info/;Comacchio;Lido di Spina;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13167;
13790;Bagno Piero;56;;;Bellaria - Igea Marina;Igea Marina;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13790;
13716;Bagni Oreste;115;info@bagnielio.com;http://www.bagnioreste.it/;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13716;
12983;Bagno cesena;;;;Cesenatico;Cesenatico;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12983;
13674;Bagni Agostino;73;info@riccionespiaggia73.com;http://www.riccionespiaggia73.com/riccionespiaggia73/home.html;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13674;
13282;Bagno Obelix;;info@bagnoobelix.it;http://www.bagnoobelix.it/;Ravenna;Marina di Ravenna;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13282;
13660;Bagni Cicca;59;silvia@spiaggia59riccione.it;http://www.spiaggia59riccione.it/;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13660;
13675;Bagni Natalina;74;;;Riccione;Riccione;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13675;
12994;Bagno eden;;casadei_elisa@libero.it;;Cesenatico;Valverde;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/12994;
13791;Bagno Mario;57;;;Bellaria - Igea Marina;Igea Marina;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13791;
13828;La Playa Beach Village;68-75;75@laplayacattolica.com;http://www.laplayacattolica.com/;Cattolica;Cattolica;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13828;
13829;I Delfini Beach Village;54-64;info@idelfinibeachvillage.com;http://www.idelfinibeachvillage.com/;Cattolica;Cattolica;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13829;
13830;Altamarea Beach Village;105;bagnini@altamareabeachvillage.it;http://www.altamareabeachvillage.it/;Cattolica;Cattolica;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13830;
13181;Bagno Kelly;7;;http://www.bagnokelly.com/;Comacchio;Lido di Volano;02/07/2014 22:00;;http://bagnialmare.com/admin/bagni/bagno/13181;
